1525	Banana	A sweet yellow fruit.	0.99
5220	Apple	A crunchy red fruit.	0.49
1517	Cucumber	A long green vegetable.	0.29
8471	Milk 	A rich, creamy beverage.	3.99
4600	Orange Juice	A sweet, pulpy beverage.	4.99
2629	Spinach	A dark leafy green vegetable.	1.99
3859	avocado	A soft, rich fruit.	1.29
3704	Lemon	A sour yellow fruit.	0.79
4475	Dark Chocolate	A bitter candy.	1.29
6716	Guacamole	A flavorful avocado spread.	4.99
8060	Peanut Butter	A salty, high-protein spread.	4.99
2830	Ketchup	A tomato-based condiment.	3.99
